17.2,14.06556078,17.41522323,16.50121208,17.85385113,16.88075828,15.90628806,17.63235662,15.74325252,18.96127633,17.55591069,17.75302791,19.67256974,20.15341162,18.53213425,20.67873304,19.2418814,20.08008964,18.20164828,22.32129029,20.75475849,25,20.32953516,24.49510155,20.46582517,25.22003172,22.09117471,25.2944658,24.41311123,24.77357463,25.2944658,26.23909297,23.88053601,23.84030201,24.78326048,26.82256513,26.56012048,26.51584432,27.88709379,24.32323992,27.33056897,24.02353013,27.048475,22.80789337,24.44360857,25.04495957,26.46601594,27.43884108,25.52743622,28.36476688,25.04595776,28.50017544
19.41648784,13.60147051,18.43908891,13.45362405,18.02775638,14.86606875,17.4642492,17.20465053,20.61552813,15.55634919,20.1246118,15.62049935,21.02379604,16.97056275,20.59126028,17.69180601,20.80865205,18.38477631,21.9544984,17.80449381,24.41311123,20,24.8394847,20,26.40075756,19.41648784,27.20294102,20,26.40075756,20.24845673,28.8444102,20.80865205,30,19.72308292,30,21.02379604,33.60059523,19.72308292,32.64965543,21.47091055,32.80243893,19.31320792,31.2409987,20.24845673,29.83286778,20.88061302,32.01562119,23.76972865,29.83286778,20.88061302,30.47950131,22.47220505
21.02379604,7.810249676,21.02379604,7.211102551,22.84731932,6.708203932,22.82542442,5.385164807,23.70653918,4.472135955,25.23885893,4.472135955,25.55386468,3.16227766,26.07680962,4.472135955,26.62705391,4.472135955,28.01785145,4.123105626,30.8058436,3.16227766,30.23243292,1,31.40063694,0,31.6227766,2.236067977,34.40930107,0,35.80502758,1,35.22782991,1,36.05551275,1.414213562,35.80502758,3.16227766,35.80502758,3.16227766,35.80502758,5.099019514,34.66987165,5.099019514,31.90611227,5.099019514,37.44329045,5.830951895,35.51056181,7.211102551,36.05551275,5.830951895
20.22374842,16.2788206,15.13274595,19.02629759,24.51530134,23.43074903,13.15294644,29.41088234,22.36067977,26.62705391,13.03840481,20.1246118,21.02379604,17.4642492,13.60147051,23.60084744,37.21558813,40.85339643,27.29468813,36.76955262,22.36067977,28.28427125,17.02938637,30.23243292,21.9317122,34.66987165,18.02775638,26.92582404,22.13594362,29.73213749,23.2594067,29.41088234,36.23534186,36.23534186,27.20294102,36.76955262,27.65863337,34.82814953,16.40121947,36.35931793,24.59674775,28.42534081,20,33.28663395,26.2488095,35.17101079,31.82766093,37.57658846,23.60084744,26.92582404,21.21320344,32.38826948
8.94427191,5.099019514,9.433981132,4.123105626,8.062257748,2,10.81665383,3,10.81665383,4,10,4.123105626,10.81665383,1.414213562,10.63014581,3.605551275,9.899494937,6.08276253,6.32455532,2.236067977,11.3137085,3.16227766,13.45362405,3.16227766,14.4222051,4.242640687,13.89244399,3.605551275,13.03840481,3.605551275,15,4,15.65247584,4,15.23154621,3.16227766,15.26433752,4,13.89244399,6.32455532,14.76482306,6.08276253,15.26433752,5.099019514,14.86606875,4.123105626,18.35755975,7.280109889,15.65247584,6.32455532,16.64331698,5.385164807
15,21.37755833,14.86606875,20.88061302,15,19.23538406,14.86606875,22.13594362,17.69180601,19.31320792,19.10497317,19.6977156,18.38477631,20.61552813,19.10497317,24.18677324,18.43908891,23.76972865,16.97056275,23.76972865,19.20937271,24.18677324,18.43908891,25.05992817,20,26.07680962,22.02271555,28.3019434,20,28.3019434,22.47220505,28.8444102,21.40093456,28.01785145,22.20360331,28.60069929,20,30,21.09502311,31.144823,21.02379604,31.2409987,19.6977156,31.2409987,20.61552813,28.42534081,23.2594067,31.2409987,23.70653918,29.20616373,23.76972865,30.47950131
9.899494937,28,8.062257748,21.09502311,12.64911064,29.83286778,17.02938637,25.23885893,22.02271555,27.80287755,4,26.57066051,11.40175425,27.65863337,10.44030651,25,26.07680962,17.2626765,21.9317122,42.72001873,20,44.72135955,21.54065923,28.65309756,25,42.63801121,19.23538406,28.17800561,9.899494937,24.18677324,22.47220505,39.92492956,19.02629759,51.31276644,20.80865205,44.68780594,16.1245155,37.53664876,24.33105012,29.12043956,15.62049935,34.92849839,15.62049935,29.73213749,18.24828759,31.144823,35.0142828,38.01315562,25.61249695,30.8058436,27.20294102,29.83286778
9.219544457,21.9544984,8.485281374,20.1246118,8.062257748,24.59674775,6.403124237,21.09502311,5.656854249,23.32380758,7.810249676,25.23885893,3,25.8069758,3,25,3,27.80287755,2.236067977,26.40075756,3,31.6227766,2.236067977,30.8058436,1,32.80243893,3.16227766,33.60059523,5.099019514,32.44996148,5.099019514,36.61966685,5.099019514,35.60898763,5.099019514,36.35931793,6.32455532,38.27531842,7.071067812,33.60059523,8.062257748,36.35931793,8,34.13209633,8.062257748,34.13209633,9.848857802,36.89173349,9.848857802,35.51056181,8.246211251,36.89173349
20.24845673,11.66190379,20.1246118,10.19803903,23.02172887,9.848857802,23.02172887,8.544003745,23.85372088,8.544003745,24.20743687,8,25.61249695,6.32455532,24.69817807,5.099019514,23.85372088,5.099019514,26.2488095,5.385164807,30,5.385164807,29.20616373,5.385164807,32.01562119,6.32455532,32.20248438,5.830951895,32.01562119,7.071067812,34.66987165,7.810249676,33.60059523,9.433981132,33.28663395,9.219544457,35.22782991,10,35,9.848857802,34.66987165,12.08304597,33.28663395,10.77032961,32.75667871,9.486832981,36.7151195,10.19803903,34.98571137,9.055385138,35.51056181,10.04987562
3,8.246211251,3,7.280109889,2,9.486832981,4,8.94427191,2,9.848857802,2.236067977,10.29563014,2.236067977,10.29563014,3.16227766,10,2.236067977,11.18033989,3,11.18033989,2.236067977,13.89244399,3.605551275,12.20655562,3.605551275,11.66190379,3.16227766,11.66190379,3,13.60147051,2.236067977,14.4222051,2.828427125,13.60147051,3.16227766,13.03840481,3,14.4222051,3.605551275,13.03840481,2.236067977,13.89244399,3.605551275,14.2126704,4.242640687,12.52996409,4,14.4222051,3,14.86606875,4,14.4222051
66.3098786,56.56854249,74.20242584,63.78871374,59.9082632,60.20797289,77.02596965,58.30951895,67.67569726,46.23851209,71.84705979,56.75385449,63.2455532,50.56678752,66.03786792,44.10215414,84.40379138,57.38466694,59.20304046,37.48332963,81.46778504,61.84658438,72.86288493,53.71219601,86.60831369,58.89821729,91.40021882,70.68238819,86.31338251,72.11102551,100.20978,90.13878189,91.58602513,93.00537619,90.44335244,73.40980861,96.33275663,76.57675888,82.85529555,68.60029154,86.83893136,66.21933252,88.23264702,87.68124087,79.75587753,56.93856338,98.8382517,79.20227269,98.85848471,69.3108938,89.55445271,63.2534584
